Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.33      0.04     0.04   600000     0.00     0.00  std::_Deque_iterator<int, int const&, int const*>::_Deque_iterator<std::_Deque_iterator<int, int&, int*>, void>(std::_Deque_iterator<int, int&, int*> const&)
 16.67      0.06     0.02   100000     0.00     0.00  void std::deque<int, std::allocator<int> >::emplace_back<int>(int&&)
  8.33      0.07     0.01   600001     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  8.33      0.08     0.01   283156     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  8.33      0.09     0.01   200782     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_deallocate_node(int*)
  8.33      0.10     0.01   200000     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int const&)
  8.33      0.11     0.01    70789     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  8.33      0.12     0.01        1    10.00    90.02  findSCCsWithDeque(std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > > const&, int)
  0.00      0.12     0.00  1204706     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.12     0.00   801860     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.12     0.00   671586     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.12     0.00   600006     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.12     0.00   600002     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.12     0.00   600001     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.12     0.00   600001     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.12     0.00   600001     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.12     0.00   600000     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.12     0.00   600000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.12     0.00   600000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.12     0.00   600000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.12     0.00   600000     0.00     0.00  std::operator==(std::_Deque_iterator<int, int const&, int const*> const&, std::_Deque_iterator<int, int const&, int const*> const&)
  0.00      0.12     0.00   600000     0.00     0.00  std::operator!=(std::_Deque_iterator<int, int const&, int const*> const&, std::_Deque_iterator<int, int const&, int const*> const&)
  0.00      0.12     0.00   543439     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.12     0.00   543439     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.12     0.00   500002     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.12     0.00   495619     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.12     0.00   485048     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.12     0.00   484767     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.12     0.00   483156     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.12     0.00   464002     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.12     0.00   403140     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.12     0.00   402359     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      0.12     0.00   400797     0.00     0.00  std::_Deque_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.12     0.00   400016     0.00     0.00  __gnu_cxx::new_allocator<int*>::new_allocator()
  0.00      0.12     0.00   400016     0.00     0.00  __gnu_cxx::new_allocator<int*>::~new_allocator()
